D:\prakash\IMG\center_2023_03_18_20_46_32_351.jpg,D:\prakash\IMG\left_2023_03_18_20_46_32_351.jpg,D:\prakash\IMG\right_2023_03_18_20_46_32_351.jpg,0,0,0,1.712503
D:\prakash\IMG\center_2023_03_18_20_46_32_417.jpg,D:\prakash\IMG\left_2023_03_18_20_46_32_417.jpg,D:\prakash\IMG\right_2023_03_18_20_46_32_417.jpg,0,0,0,1.698746
D:\prakash\IMG\center_2023_03_18_20_46_32_489.jpg,D:\prakash\IMG\left_2023_03_18_20_46_32_489.jpg,D:\prakash\IMG\right_2023_03_18_20_46_32_489.jpg,0,0,0,1.688501
D:\prakash\IMG\center_2023_03_18_20_46_32_561.jpg,D:\prakash\IMG\left_2023_03_18_20_46_32_561.jpg,D:\prakash\IMG\right_2023_03_18_20_46_32_561.jpg,0,0,0,1.674938
D:\prakash\IMG\center_2023_03_18_20_46_32_633.jpg,D:\prakash\IMG\left_2023_03_18_20_46_32_633.jpg,D:\prakash\IMG\right_2023_03_18_20_46_32_633.jpg,0,0.1638297,0,1.743658
D:\prakash\IMG\center_2023_03_18_20_46_32_701.jpg,D:\prakash\IMG\left_2023_03_18_20_46_32_701.jpg,D:\prakash\IMG\right_2023_03_18_20_46_32_701.jpg,0,0.4191993,0,2.039872
D:\prakash\IMG\center_2023_03_18_20_46_32_767.jpg,D:\prakash\IMG\left_2023_03_18_20_46_32_767.jpg,D:\prakash\IMG\right_2023_03_18_20_46_32_767.jpg,0,0.5925612,0,2.405191
D:\prakash\IMG\center_2023_03_18_20_46_32_839.jpg,D:\prakash\IMG\left_2023_03_18_20_46_32_839.jpg,D:\prakash\IMG\right_2023_03_18_20_46_32_839.jpg,0,0.8354316,0,3.113442
D:\prakash\IMG\center_2023_03_18_20_46_32_909.jpg,D:\prakash\IMG\left_2023_03_18_20_46_32_909.jpg,D:\prakash\IMG\right_2023_03_18_20_46_32_909.jpg,0,1,0,3.779673
D:\prakash\IMG\center_2023_03_18_20_46_32_982.jpg,D:\prakash\IMG\left_2023_03_18_20_46_32_982.jpg,D:\prakash\IMG\right_2023_03_18_20_46_32_982.jpg,-0.05,1,0,4.71481
D:\prakash\IMG\center_2023_03_18_20_46_33_052.jpg,D:\prakash\IMG\left_2023_03_18_20_46_33_052.jpg,D:\prakash\IMG\right_2023_03_18_20_46_33_052.jpg,-0.2,1,0,5.40502
D:\prakash\IMG\center_2023_03_18_20_46_33_123.jpg,D:\prakash\IMG\left_2023_03_18_20_46_33_123.jpg,D:\prakash\IMG\right_2023_03_18_20_46_33_123.jpg,-0.4,1,0,6.304448
D:\prakash\IMG\center_2023_03_18_20_46_33_198.jpg,D:\prakash\IMG\left_2023_03_18_20_46_33_198.jpg,D:\prakash\IMG\right_2023_03_18_20_46_33_198.jpg,0,1,0,7.170334
